Company Name,Ellie's notes,Description,Primary Industry,Size,Type,Location,HQ_STATE,HQ_CITY,Country,Domain,LinkedIn URL,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Confidence,Evidence Quote,Role,Has ngAbs Program,Company Research Narrative,Conference Presence,Modality Types,Antibody Trials Overview,ngAb Press Mentions (News),NA Site Classification,Site Verdict,Lab & Process Job Openings,LinkedIn URL (Confirmed Only),Contacts,Share
Bionova Scientific,,"Bionova Scientific is a dynamic, full service, biologics Contract Development and Manufacturing Organization (CDMO) on a mission to deliver the highest quality process development and manufacturing services to biologic drug development companies around the world. Bionova’s renowned scientific expertise and dedication to its customers helps life changing therapies arrive to the market faster and more efficiently. At the heart of Bionova is a team of highly dedicated experts combining strong experience in cGMP biologics manufacturing and process development, with a technology-focused approach and a deep knowledge of the industry. From early stage research material generation to Process Development and GMP manufacturing, Bionova’s teams are fully committed to helping their clients fulfill their objective of providing sustainable and affordable therapies to their patients.",Biotechnology Research,51-200 employees,Privately Held,"Fremont, California",California,Fremont,United States,bionovascientific.com,https://www.linkedin.com/company/bionova-scientific,Bionova Scientific,138,2014,9433,Response,high,"From the Downstream Process Development page: ""Bionova specializes in difficult to express and manufacture products including antibody drug conjugates (ADCs). These complex molecular constructs present a much higher bar for purity than many other biologics, and Bionova routinely delivers optimized ADC purification processes.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments. Verdict: yes (confidence: high). Evidence: From the Downstream Process Development page: ""Bionova specializes in difficult to express and manufacture products including antibody drug conjugates (ADCs). These complex molecular constructs present a much higher bar for purity than many other biologics, and Bionova routinely delivers optimized ADC purification processes."".",Response,"bispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments",Running...,✅ 9 Results Found,Response,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/bionova-scientific,"Cole Cordes, Minni Aswath, Vaishali Sharma",checked
Polaris Pharmaceuticals Inc.,"the modality is a PEGylated microbial enzyme (an amino-acid-depleting biologic), not an antibody-based therapeutic at all. There's no bispecific, no multispecific, no ADC, and not even an antibody backbone — it's an enzyme conjugated to PEG.","Polaris Pharmaceuticals, is a biopharmaceutical development and manufacturing organization (CDMO) specializing in biologics derived from microbial systems. We have manufactured clinical material for trials in the United States, Europe, China, Taiwan, Australia, and Korea. Polaris Pharma offers a comprehensive range of process and analytical development and high-quality cGMP pre-clinical and clinical manufacturing services.

We offer services for the following:

•	Process Development
•	Master and Working Cell Bank Propagation
•	Pre-Clinical/Clinical Manufacturing
•	QC Method Development
•	In Process Testing
•	Release Testing
•	Stability Storage and Testing
•	Availability to provide high purity WFI and PW
•	Custom Buffer and Media Manufacturing
•	Contract Filling, Labeling, Inspection
•	Microbial Based Fermentation Products",Biotechnology Research,51-200 employees,Public Company,"Vacaville, CA",CA,Vacaville,United States,polarispharma.com,https://www.linkedin.com/company/polarispharma,Polaris Pharmaceuticals Inc.,87,2004,8705,Response,high,"From the Genovior Biotech Services page: ""(b)以微生物發酵或人類細胞製程所生產的胜肽/蛋白質與單株抗體等原料藥的製程開發"" (Translation: Process development of raw materials such as peptides/proteins and monoclonal antibodies produced by microbial fermentation or human cell processes).",CDMO service provider,yes,"CDMO service provider developing none. Verdict: yes (confidence: high). Evidence: From the Genovior Biotech Services page: ""(b)以微生物發酵或人類細胞製程所生產的胜肽/蛋白質與單株抗體等原料藥的製程開發"" (Translation: Process development of raw materials such as peptides/proteins and monoclonal antibodies produced by microbial fermentation or human cell processes)..",Response,none,Response,✅ 10 Results Found,Response,confirmed,Returned 2 Jobs,https://www.linkedin.com/company/polarispharma,Leon Xia,checked
LSNE Contract Manufacturing,"Duplicate: LSNE is no longer an independent company, It's PCI Pharma Services","LSNE Contract Manufacturing is a CDMO with a proven regulatory history specializing in a wide range of services including process development, aseptic fill finish and lyophilization. LSNE has been providing cGMP services to the pharmaceutical, biotechnology and medical device industries since 1997. Through the thoughtful integration of four processing facilities, qualified staffing and an extensive manufacturing history, LSNE is strategically positioned to provide uninterrupted material for clinical through commercial use.

With on-site development services, LSNE can partner with clients to optimize their current formulation and lyophilization cycle or develop a cycle from scratch and perform the necessary feasibility work. Once development activities are complete, LSNE can formulate, fill, lyophilize and package finished products. LSNE’s highly skilled personnel and automated equipment, work together to provide consistent, quality material. LSNE offers both the flexible approach commonly required with preclinical projects, as well as the cGMP framework necessary for late stage clinical and commercial manufacturing. Specializing in the production of high-quality small to medium size batches, LSNE is perfectly suited for orphan indications or products with modest annual volumes. LSNE’s experienced development, operations, quality and project management teams evaluate project objectives and recommend an optimal path forward to achieve easier regulatory submissions and a faster time to market. LSNE’s flexibility and responsiveness allow them to make their client’s batch a top priority so they can meet their client’s timelines and exceed their expectations.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Bedford, New Hampshire",New Hampshire,Bedford,United States,pci.com,https://www.linkedin.com/company/lsne-contract-manufacturing,PCI Pharma Services,4784,,88352,Response,high,"From the News page (Ajinomoto Althea acquisition): ""the acquisition also adds high potent vial filling with lyophilization, expanding our sterile fill-finish capacity and serving as an expedient entrée into the rapidly emerging oncology modality of high potent antibody-drug conjugates (ADCs). In fact, the move places PCI among the few US-based CDMOs capable of filling ADCs.""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the News page (Ajinomoto Althea acquisition): ""the acquisition also adds high potent vial filling with lyophilization, expanding our sterile fill-finish capacity and serving as an expedient entrée into the rapidly emerging oncology modality of high potent antibody-drug conjugates (ADCs). In fact, the move places PCI among the few US-based CDMOs capable of filling ADCs."".",Response,ADCs,Response,✅ 2 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/lsne-contract-manufacturing,,checked
"Sino Biological, Inc.",,"Sino Biological is a global leader in recombinant protein and antibody production, gene synthesis, and CRO services for life sciences research and drug development. Its facilities include the Center for Bioprocessing (C4B) in Houston, Texas, which specializes in mammalian cell-based protein and antibody production, and SignalChem Biotech (SCB) in Vancouver, Canada, focusing on kinase-related reagents, stable cell line development, and therapeutic discovery. Sino Biological ensures innovative, high-quality solutions for global academic and industrial clients.",Biotechnology Research,"501-1,000 employees",Privately Held,"Houston, Texas",Texas,Houston,United States,sinobiological.com,https://www.linkedin.com/company/sino-biological-inc,"Sino Biological, Inc.",262,,28930,Response,high,"From the CRO Service page: ""Bispecific Antibody Production Service Starting from antibody sequences, 20+ bsAb formats can be produced... Antibody Fragment Production Services Diverse fragment formats: scFv, Fab, VHH, antibody-fusion proteins, and more.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, multispecific antibodies, trispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments, BiTEs. Verdict: yes (confidence: high). Evidence: From the CRO Service page: ""Bispecific Antibody Production Service Starting from antibody sequences, 20+ bsAb formats can be produced... Antibody Fragment Production Services Diverse fragment formats: scFv, Fab, VHH, antibody-fusion proteins, and more."".",Response,"bispecific antibodies, multispecific antibodies, trispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments, BiTEs",Response,✅ 10 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/sino-biological-inc,,checked
ProBio,Duplicate of GenScript ProBio (same company),"ProBio is a global contract development and manufacturing (CDMO) organization, which aims to accelerate the manufacturing of life-changing drugs, discover novel therapeutic targets, and develop innovative therapeutic approaches to manufacture best-in-class DNA, RNA, and protein-based therapeutics. As a global partner, ProBio brings together multi-disciplinary expertise to accelerate the manufacturing of advanced therapies, including biologics, protein and mRNA vaccines, viral vectors, antibody-drug conjugates and drug discovery services. We aid you in realizing the potential of your breakthrough discovery to treat diseases and improve lives. Let us accelerate your path to market with the greatest chance of success!",Biotechnology Research,201-500 employees,Privately Held,"Pennington, New Jersey",New Jersey,Pennington,United States,probiocdmo.com,https://www.linkedin.com/company/probio-cdmo,ProBio,243,2020,26388,Response,high,"From the ADC Discovery page: ""Antibody-Drug Conjugate (ADC) Discovery & Development Services One stop solution from target to preclinical candidates (PCC) ... Multiple molecular types: Monoclonal antibody, bispecific monoclonal antibody, single domain antibody, antibody fragment""; From the Therapeutic Antibody Discovery page: ""ProBio delivers humanized, human and bispecific antibody leads with good biological efficacy, safety & manufacturability, as your one-stop solution from Targets to Therapeutic Antibody Candidates"".",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs, antibody fragments. Verdict: yes (confidence: high). Evidence: From the ADC Discovery page: ""Antibody-Drug Conjugate (ADC) Discovery & Development Services One stop solution from target to preclinical candidates (PCC) ... Multiple molecular types: Monoclonal antibody, bispecific monoclonal antibody, single domain antibody, antibody fragment""; From the Therapeutic Antibody Discovery page: ""ProBio delivers humanized, human and bispecific antibody leads with good biological efficacy, safety & manufacturability, as your one-stop solution from Targets to Therapeutic Antibody Candidates""..",Response,"bispecific antibodies, ADCs, antibody fragments",Response,✅ 10 Results Found,Response,confirmed,Returned 2 Jobs,https://www.linkedin.com/company/probio-cdmo,Shu Wu,checked
Kashiv BioSciences LLC,"The antibody work they do is monoclonal. There's no evidence of any bispecific, multispecific, or ADC program ","Kashiv BioSciences, LLC is a vertically integrated biopharmaceutical company with numerous commercial and advanced clinical-stage assets and is among the few U.S.-based companies to both manufacture and receive marketing authorization for multiple biosimilars. Kashiv BioSciences, LLC in the USA, and its subsidiaries in India (together “Kashiv BioSciences”) operate together with robust infrastructure and highly skilled teams that provide global R&D, clinical, manufacturing, regulatory, and IP capabilities. We believe our people, partners, and shared purpose fuel our work to advance patient care and access to important medicines.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Bridgewater, New Jersey",New Jersey,Bridgewater,United States,kashivbiosciences.com,https://www.linkedin.com/company/kashivbiosciences,Kashiv BioSciences LLC,562,2011,23491,Response,high,"From Home page: 'Kashiv’s capabilities span mABs, microbials, bi-specifics, fusion proteins, and more.'",developer,yes,"developer developing bispecific antibodies, Fc-fusion proteins. Verdict: yes (confidence: high). Evidence: From Home page: 'Kashiv’s capabilities span mABs, microbials, bi-specifics, fusion proteins, and more.'.",Response,"bispecific antibodies, Fc-fusion proteins",Response,✅ 10 Results Found,Response,confirmed,Returned 2 Jobs,https://www.linkedin.com/company/kashivbiosciences,Shaunak P.,checked
Lyell Immunopharma,"focused on CAR T-cell therapies for cancer. Lyell's lead program IMPT-314 is described as a next-generation bispecific CD19/CD20 autologous CAR T-cell therapy. That phrase will absolutely trip a keyword screen, but it is not a bispecific antibody. ","Lyell is a late-stage clinical company advancing a pipeline of next-generation CAR T-cell therapies for patients with cancer. Lyell’s product candidates are enhanced with novel technology designed to generate T cells that resist exhaustion and have qualities of durable stemness in order to drive durable tumor cytotoxicity and achieve consistent and long-lasting clinical response. We were founded by cell therapy pioneers whose decades of research elevated the broader understanding of T-cell biology and its interaction with cancer. We have built a fully integrated company capable of discovering new technologies, translating science into therapies, manufacturing cell therapy products, and clinically evaluating them in patients. Our culture is based on Science, Respect, Collaboration, and Courage and reflects who we are, the environment we create, and our mission's urgency.",Biotechnology Research,201-500 employees,Public Company,"South San Francisco, CA",CA,South San Francisco,United States,lyell.com,https://www.linkedin.com/company/lyell,Lyell Immunopharma,227,,21208,Response,high,"From the Pipeline page: ""Illustration of the Ronde-Cel CAR T cell showing the dual-targeting CAR construct highlighting the CD20 and CD19 scFv domains, a flexible linker, and 4-1BB domain.""",developer,yes,"developer developing antibody fragments. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""Illustration of the Ronde-Cel CAR T cell showing the dual-targeting CAR construct highlighting the CD20 and CD19 scFv domains, a flexible linker, and 4-1BB domain."".",Response,antibody fragments,Response,✅ 10 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/lyell,"Melissa DeFrancesco, ""Tracy Ooi, Ph.D."", James Oliver, E-Ching Ong",checked
SK pharmteco,SK pharmteco is a parent of KBI Biopharma. Risk of double-counting with KBI.,"Headquartered in Rancho Cordova, California, SK pharmteco is a global contract development and manufacturing organization specializing in the production of active pharmaceutical ingredients (APIs), advanced intermediates, and cell and gene therapy for the pharmaceutical industry. Built on 80 years of experience, our global operations have the capability and capacity to support client needs from development through commercial production. 

SK pharmteco is owned by SK Inc., the strategic investment arm of South Korea’s SK Group.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Rancho Cordova , California",California,Rancho Cordova,United States,skpharmteco.com,https://www.linkedin.com/company/skpharmteco,SK pharmteco,1431,,20095,Response,high,"From the LOTTE BIOLOGICS press release page: 'The collaboration will deliver integrated, one-stop CDMO services spanning antibody drug substance, linker–payload production, and bioconjugation, supported by joint marketing based on deep ADC expertise.'",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the LOTTE BIOLOGICS press release page: 'The collaboration will deliver integrated, one-stop CDMO services spanning antibody drug substance, linker–payload production, and bioconjugation, supported by joint marketing based on deep ADC expertise.'.",Response,ADCs,Response,✅ 10 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/skpharmteco,"Chris Nieder, Eric Fried, Mardhani A., Evan M. Schlaich, Aaron Catledge, Margie Campbell",checked
Kashiv BioSciences LLC,Duplicate,"Kashiv BioSciences, LLC is a fully integrated biosciences company headquartered in Bridgewater, New Jersey with locations in Piscataway, NJ, Chicago IL, and Ahmedabad, India.

Kashiv BioSciences’ broad business offering includes drug delivery platforms incorporating delayed release technology and gastric retention systems that improve the efficacy and safety of known drugs, a 505(b)(2) pipeline of development products targeting unmet clinical needs, biosimilars and prodrugs.  Additionally, as part of a development collaboration Kashiv BioSciences has approved generic products and products in advanced stages of development, including several complex generic products. 

Kashiv BioSciences’ medications will improve the lives of patients suffering from cancer as well as neuromuscular, movement and endocrine disorders, among other debilitating conditions, both in the U.S. and globally.  

The combined breadth of expertise in small and large molecules, peptides, proteins and monoclonal antibodies enables Kashiv BioSciences to develop products with meaningful clinical differentiation and a compelling value proposition for patients, physicians and payers.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Bridgewater, New Jersey",New Jersey,Bridgewater,United States,kashivpharma.com,https://www.linkedin.com/company/kashiv-pharma,Kashiv BioSciences LLC,562,2011,23491,Response,high,"From the Products and pipeline page: ""Kashiv’s capabilities span mABs, microbials, bi-specifics, fusion proteins, and more.""",developer,yes,"developer developing bispecific antibodies, Fc-fusion proteins. Verdict: yes (confidence: high). Evidence: From the Products and pipeline page: ""Kashiv’s capabilities span mABs, microbials, bi-specifics, fusion proteins, and more."".",Response,"bispecific antibodies, Fc-fusion proteins",Response,✅ 10 Results Found,Response,confirmed,Returned 2 Jobs,https://www.linkedin.com/company/kashiv-pharma,,checked
GenScript ProBio,,"The CDMO segment of the world's leading biotech company GenScript. GenScript ProBio has established the integrated innovative biologics CDMO platform, which mainly includes two major service areas: the field of therapeutics antibody drug and the field of gene & cell therapy. We are committed to driving innovation and accelerating the process of biologics development from target to market.",Biotechnology Research,"1,001-5,000 employees",Public Company,"Piscataway Township, New Jersey",New Jersey,Piscataway Township,United States,probiocdmo.com,https://www.linkedin.com/company/genscript-probio,ProBio,243,2020,26388,Response,high,"From the SMABody page: ""ProBio SMABody( Single-domain antibody fused to monoclonal Ab ) platform naturally combine the single domain antibody and the monoclonal antibody to make a bispecific antibody in symmetric format with good biological efficacy and good developability...SMABody Bispecific Antibody Platform is available for R&D service and co-development model.""; From the Bispecific discovery page: ""One-stop bsAb discovery solution...Over 20 bsAb discovery projects...Most advanced project is in clinical phase I...Partner with 5 companies on SMAB co-development.""; From the ADC service PDF: ""With 19 years of experience in antibody drug discovery, ProBio offers one-stop ADC discovery services to accelerate customers’ R&D speed from target to preclinical candidate(PCC)...100+ ready-to-use payload-linker conjugates...ADC Conjugation ·Lysine-based ·Cysteine-based ·Site-specific conjugation...Different biologics modalities mAb,bsAb,sdAb, antibody fragment.""; From the GenScript press release: ""LaNova Medicines leveraged ProBio’s PD-1 molecule to develop its PD-1/VEGF bispecific antibody, a key component of the LM-299 program.""; From About Us: ""ProBio, a subsidiary of GenScript, is a global CDMO offering end-to-end services from discovery to GMP for plasmids, antibodies, and cell & gene therapies.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs, antibody fragments, BiTEs. Verdict: yes (confidence: high). Evidence: From the SMABody page: ""ProBio SMABody( Single-domain antibody fused to monoclonal Ab ) platform naturally combine the single domain antibody and the monoclonal antibody to make a bispecific antibody in symmetric format with good biological efficacy and good developability...SMABody Bispecific Antibody Platform is available for R&D service and co-development model.""; From the Bispecific discovery page: ""One-stop bsAb discovery solution...Over 20 bsAb discovery projects...Most advanced project is in clinical phase I...Partner with 5 companies on SMAB co-development.""; From the ADC service PDF: ""With 19 years of experience in antibody drug discovery, ProBio offers one-stop ADC discovery services to accelerate customers’ R&D speed from target to preclinical candidate(PCC)...100+ ready-to-use payload-linker conjugates...ADC Conjugation ·Lysine-based ·Cysteine-based ·Site-specific conjugation...Different biologics modalities mAb,bsAb,sdAb, antibody fragment.""; From the GenScript press release: ""LaNova Medicines leveraged ProBio’s PD-1 molecule to develop its PD-1/VEGF bispecific antibody, a key component of the LM-299 program.""; From About Us: ""ProBio, a subsidiary of GenScript, is a global CDMO offering end-to-end services from discovery to GMP for plasmids, antibodies, and cell & gene therapies."".",Response,"bispecific antibodies, ADCs, antibody fragments, BiTEs",Response,✅ 8 Results Found,Response,confirmed,Returned 2 Jobs,https://www.linkedin.com/company/genscript-probio,,checked
Adverum Biotechnologies,"dverum is an AAV gene therapy company, not an antibody developer. The trap worth noting, because it's exactly the kind of false positive your data engine keeps surfacing: the gene Ixo-vec delivers encodes aflibercept, which is a widely used recombinant anti-VEGF protein. Aflibercept is itself an Fc-fusion protein (a VEGF-trap fused to an IgG1 Fc). So Adverum's materials are dense with antibody-adjacent vocabulary","Adverum Biotechnologies (NASDAQ: ADVM) is a clinical-stage company that aims to establish gene therapy as a new standard of care for highly prevalent ocular diseases with the aspiration of developing functional cures to restore vision and prevent blindness. Leveraging the research capabilities of its proprietary, intravitreal (IVT) platform, Adverum is developing durable, single-administration therapies, designed to be delivered in physicians’ offices, to eliminate the need for frequent ocular injections to treat these diseases. Adverum is evaluating its novel gene therapy candidate, ixoberogene soroparvovec (Ixo-vec, formerly referred to as ADVM-022), as a one-time, IVT injection for patients with neovascular or wet age-related macular degeneration. By overcoming the challenges associated with current treatment paradigms for these debilitating ocular diseases, Adverum aspires to transform the standard of care, preserve vision, and create a profound societal impact around the globe. 

A wholly-owned subsidiary of Eli Lilly and Company.",Biotechnology Research,51-200 employees,Public Company,"Redwood City, California",California,Redwood City,United States,adverum.com,https://www.linkedin.com/company/adverum-biotechnologies,Adverum Biotechnologies,132,2012,15185,Response,high,"From the Pipeline page: ""Ixoberogene soroparvovec (Ixo-vec, formerly referred to as ADVM-022) is Adverum’s clinical-stage gene therapy product candidate being developed for the treatment of wet AMD. Ixo-vec utilizes a propriety vector capsid, AAV.7m8, carrying an aflibercept coding sequence under the control of a proprietary expression cassette.""",developer,yes,"developer developing Fc-fusion proteins. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""Ixoberogene soroparvovec (Ixo-vec, formerly referred to as ADVM-022) is Adverum’s clinical-stage gene therapy product candidate being developed for the treatment of wet AMD. Ixo-vec utilizes a propriety vector capsid, AAV.7m8, carrying an aflibercept coding sequence under the control of a proprietary expression cassette."".",Response,Fc-fusion proteins,Response,✅ 10 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/adverum-biotechnologies,"Jake Ang, Margaret Butko, Bill Tan",checked
"Immunome, Inc.",,"Immunome is a clinical-stage targeted oncology company committed to developing first-in-class and best-in-class targeted therapies designed to improve outcomes for cancer patients. We are advancing an innovative portfolio of therapeutics, drawing on leadership that previously played key roles in the design, development, and commercialization of cutting-edge targeted cancer therapies, including antibody-drug conjugate therapies (ADCs). Our most advanced pipeline programs are varegacestat (formerly AL102), a gamma secretase inhibitor which is currently in a Phase 3 trial for treatment of desmoid tumors; IM-1021, a ROR1-targeted ADC which is currently in a Phase 1 trial; and IM-3050, a FAP-targeted radioligand, which recently received IND clearance. Our pipeline also includes IM-1617, IM-1335, and IM-1340, all of which are preclinical ADCs pursuing undisclosed targets with expression in multiple solid tumors.",Biotechnology Research,201-500 employees,Public Company,"Bothell, Washington",Washington,Bothell,United States,immunome.com,https://www.linkedin.com/company/immunome-inc-,"Immunome, Inc.",244,,13121,Response,high,"From the Pipeline page: ""Our most advanced pipeline programs are varegacestat (formerly AL102), a late-clinical stage gamma secretase inhibitor for treatment of desmoid tumors; IM-1021, a ROR1-targeted ADC which is currently in a Phase 1 trial; and IM-3050, a FAP-targeted radioligand, which received IND clearance in Q1 2025. Our preclinical pipeline includes IM-1617, IM-1340, and IM-1335, all of which are ADCs pursuing undisclosed targets with expression in multiple solid tumors.""",developer,yes,"developer developing ADCs, radioimmunoconjugates. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""Our most advanced pipeline programs are varegacestat (formerly AL102), a late-clinical stage gamma secretase inhibitor for treatment of desmoid tumors; IM-1021, a ROR1-targeted ADC which is currently in a Phase 1 trial; and IM-3050, a FAP-targeted radioligand, which received IND clearance in Q1 2025. Our preclinical pipeline includes IM-1617, IM-1340, and IM-1335, all of which are ADCs pursuing undisclosed targets with expression in multiple solid tumors."".",Response,"ADCs, radioimmunoconjugates",Response,✅ 10 Results Found,Response,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/immunome-inc-,,checked
