Company Name,Triggers,Description,Primary Industry,Size,Type,Location,HQ_STATE,HQ_CITY,Country,Domain,LinkedIn URL,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Confidence,Evidence Quote,Role,Has ngAbs Program,Company Research Narrative,Conference Presence,Modality Types,Antibody Trials Overview,ngAb Press Mentions (News),NA Site Classification,Record ID,Site Verdict,Lab & Process Job Openings,LinkedIn URL (Confirmed Only),Update People Search (Find people Table) - 2026-06-03T17:04:45.167Z,Contacts,data status,Share,NA Site Verdict,NA Sites Detail,Review Disposition,Review Note,Reclassify Verdict,Reclassify Evidence
Resilience,,"Resilience is a North American contract development and manufacturing organization (CDMO) focused on delivering high-quality, scalable manufacturing solutions for advanced therapies. With capabilities spanning biologics drug substance, cell-based therapies, and aseptic drug product manufacturing for both small and large molecules, Resilience partners with leading biopharma companies to bring complex medicines to market faster and more reliably.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Blue Ash, Ohio",Ohio,Blue Ash,United States,resilience.com,https://www.linkedin.com/company/weareresilience,Resilience,1301,2020,48216,Response,high,"From the Biologics page Product Types: mAbs, Enzymes, Fusion proteins, Bispecifics, Non-cytotoxic conjugation",CDMO service provider,yes,"CDMO service provider developing none. Verdict: unclear (confidence: medium). Evidence: From the Sites/Capabilities pages: ""Toronto* PAD & GMP manufacturing capabilities for monoclonal antibodies, recombinant proteins, and other complex molecules."" and From the Capabilities/Services pages: ""Biologics Platform-based approaches designed to streamline development and unlock commercial success."".",,"bispecific antibodies, Fc-fusion proteins, non-cytotoxic conjugation",,,Blue Ash OH (gmp_mfg); Cincinnati OH; Philadelphia PA; Toronto ON,recQW80vZdwKhba0Q,confirmed,Returned 2 Jobs,,,"""Rajesh Shenoy, Ph.D."",Steve Brookes,Qin Zou,Marta Papini",,,,,,,confirmed,"From the Biologics page Product Types: mAbs, Enzymes, Fusion proteins, Bispecifics, Non-cytotoxic conjugation"
Alcami Corporation,,"Alcami is a US-based contract development and manufacturing organization headquartered in NC with 45+ years of experience advancing pharmaceuticals and biologics from development to delivery. Alcami provides fully integrated lab services, drug product manufacturing, and cGMP pharma storage and support services including environmental monitoring, calibration, and validation. Alcami’s private equity ownership includes GHO Capital, The Vistria Group, and Ampersand Capital Partners.",Pharmaceutical Manufacturing,"501-1,000 employees",Privately Held,"Wilmington, NC",NC,Wilmington,United States,alcami.com,https://www.linkedin.com/company/alcami,Alcami Corporation,1243,1979,44319,Response,high,"From the Alcami Durham expansion press release: ""The 20,000-square-foot expansion ... will significantly strengthen Alcami’s analytical capabilities in support of biologics, peptides, oligonucleotides, antibody-drug conjugates (ADCs), and cell and gene therapy (CGT) drug substances and drug products.""",CDMO service provider,yes,"CDMO service provider developing ADCs, multispecific antibodies. Verdict: yes (confidence: high). Evidence: From the Alcami Durham expansion press release: ""The 20,000-square-foot expansion ... will significantly strengthen Alcami’s analytical capabilities in support of biologics, peptides, oligonucleotides, antibody-drug conjugates (ADCs), and cell and gene therapy (CGT) drug substances and drug products."".",Response,"ADCs, multispecific antibodies",Response,✅ 10 Results Found,Response,recpFdqPsxGriP60X,confirmed,❌ No Job Found,https://www.linkedin.com/company/alcami,People Search Updated,"""Isaac Agyemang, MBA""",,,,,,,,
AbCellera,,"AbCellera is a clinical-stage biotechnology company focused on discovering and developing antibody-based medicines in the areas of endocrinology, women’s health, immunology, and oncology.",Biotechnology Research,"501-1,000 employees",Public Company,"Vancouver, British Columbia",British Columbia,Vancouver,Canada,abcellera.com,https://www.linkedin.com/company/abcellera,AbCellera,589,2012,43999,Response,high,"From the Pipeline page: ""ABCL635 is a potential first-in-class antibody medicine for the non-hormonal treatment of VMS...""; From the Platform page: ""We design and engineer T-cell engagers to address challenging tumor types by incorporating novel CD3, co-stimulatory, and multispecific modalities.""; From the Prelude press release: ""Multi-year collaboration to jointly discover, develop, and commercialize novel oncology medicines for up to five programs, with the first ADC program..."" and ""AbCellera will lead manufacturing activities...""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, multispecific antibodies, ADCs, BiTEs. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""ABCL635 is a potential first-in-class antibody medicine for the non-hormonal treatment of VMS...""; From the Platform page: ""We design and engineer T-cell engagers to address challenging tumor types by incorporating novel CD3, co-stimulatory, and multispecific modalities.""; From the Prelude press release: ""Multi-year collaboration to jointly discover, develop, and commercialize novel oncology medicines for up to five programs, with the first ADC program..."" and ""AbCellera will lead manufacturing activities..."".",Response,"bispecific antibodies, multispecific antibodies, ADCs, BiTEs",Response,✅ 10 Results Found,Response,recgA29bUOcdR0WZb,confirmed,❌ No Job Found,https://www.linkedin.com/company/abcellera,People Search Updated,"Kevin Heyries,Eoin Cosgrave,Chad Pickel,Brian McManus",,,,,,,,
"Avidity Biosciences, Inc.",,"DELIVERING ON OUR VISION
Our vision is to profoundly improve people’s lives by revolutionizing the delivery of RNA therapeutics. We’re utilizing our proprietary AOC platform to design, engineer, and develop therapeutics that combine the tissue selectivity of monoclonal antibodies (mAbs) with the precision of oligonucleotide-based therapies in order to redefine RNA therapeutics and more effectively target underlying genetic drivers of diseases. We are delivering on this vision by investing in our platform, our pipeline and our people.

Through this platform, we are pleased to share our ideas and company progress as we advance our science and overall mission to deliver breakthrough therapies to patients.",Biotechnology,201-500 employees,Public Company,"San Diego, California",California,San Diego,United States,aviditybiosciences.com,https://www.linkedin.com/company/avidity-biosciences-llc,"Avidity Biosciences, Inc.",452,,37447,Response,high,"From the Platform page: ""Antibody Oligonucleotide Conjugates (AOC) therapeutics are designed to combine the proven technology of monoclonal antibodies (mAbs) with the precision and potency of oligonucleotide therapies to access previously untreatable tissue and cell types...Utilizing our proprietary Antibody Oligonucleotide Conjugates (AOCs™) platform, Avidity was the first company to demonstrate the successful targeted delivery of RNA to muscle.""",developer,yes,"developer developing none. Verdict: yes (confidence: high). Evidence: From the Platform page: ""Antibody Oligonucleotide Conjugates (AOC) therapeutics are designed to combine the proven technology of monoclonal antibodies (mAbs) with the precision and potency of oligonucleotide therapies to access previously untreatable tissue and cell types...Utilizing our proprietary Antibody Oligonucleotide Conjugates (AOCs™) platform, Avidity was the first company to demonstrate the successful targeted delivery of RNA to muscle."".",Response,none,Response,✅ 10 Results Found,Response,recDnB2Uc4OdweQ2u,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/avidity-biosciences-llc,People Search Updated,,,checked,,,keep,Ellie reviewed clean. Canonical AOC example (Avidity).,,
Simtra BioPharma Solutions,,"As a premier, independently owned CDMO with over 65 years of sterile injectable manufacturing experience, Simtra BioPharma Solutions offers world-class cGMP sterile fill/finish, technical expertise, quality service, and a uniquely collaborative approach.  Pharmaceutical and biotech companies partner with us when they face formulation challenges, clinical supply hurdles, surges in demand due to market fluctuations, or risk mitigation concerns.  Our teams are driven to offer our clients tailored and versatile solutions to help them bring their products to market so they can get to the patients who need them.
(Simtra is a tradename of Baxter Oncology GmbH and Simtra US LLC)",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Parsippany, New Jersey",New Jersey,Parsippany,United States,simtra.com,https://www.linkedin.com/company/simtra-biopharma-solutions,Simtra BioPharma Solutions,1011,,30599,Response,high,"From the Home page: ""Simtra BioPharma Solutions and MilliporeSigma have forged a strategic alliance to streamline and accelerate the development and manufacturing of ADCs and other bioconjugates. The alliance represents quality-first ADC manufacturing and enables pharma and biopharma companies to focus on continued drug discovery.""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the Home page: ""Simtra BioPharma Solutions and MilliporeSigma have forged a strategic alliance to streamline and accelerate the development and manufacturing of ADCs and other bioconjugates. The alliance represents quality-first ADC manufacturing and enables pharma and biopharma companies to focus on continued drug discovery."".",Response,ADCs,Running...,✅ 10 Results Found,Response,recHa9GqIXwm6o0bF,confirmed,Returned 7 Jobs,https://www.linkedin.com/company/simtra-biopharma-solutions,People Search Updated,Amanda Davis,,checked,,,tier-down,"Edge: sterile fill-finish, thinner Teknova basket (formulation buffers/water).",,
Abzena,,"Abzena is the leading end-to-end bioconjugate, ADC, and complex biologics CDMO + CRO.  From discovery through commercial launch, we support customers with fully integrated programs or individual services designed to de-risk and streamline the development of new treatments for patients in need. With the ability to tailor its strategy and customer experience to each project, Abzena develops and implements innovative solutions that enable biotech and biopharma companies to realize the full potential of their molecule and move medicines forward faster. The company has research, development, and cGMP facilities across locations in San Diego, CA, Bristol, PA, and Cambridge, UK.",Pharmaceutical Manufacturing,"501-1,000 employees",Privately Held,"San Diego, California",California,San Diego,United States,abzena.com,https://www.linkedin.com/company/abzena,Abzena,434,2001,29460,Response,high,"From the Solutions page: ""End-to-end biologics CDMO + CRO services for modalities inc. mAbs, ADCs , AOCs , RDCs , fusion proteins, bispecifics & more underpinned by robust analytical capabilities across all phases of development.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs, Fc-fusion proteins, radioimmunoconjugates. Verdict: yes (confidence: high). Evidence: From the Solutions page: ""End-to-end biologics CDMO + CRO services for modalities inc. mAbs, ADCs , AOCs , RDCs , fusion proteins, bispecifics & more underpinned by robust analytical capabilities across all phases of development."".",Response,"bispecific antibodies, ADCs, Fc-fusion proteins, radioimmunoconjugates",Response,✅ 10 Results Found,Response,recGR2ubqFLslcJrM,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/abzena,People Search Updated,"Dennis Yoon,Hamideh Keshavarz,Satendra Chauhan,Haiou Yang,Kevin Chang,Clayton Lutzow,Hiren Soni,Rudramurty Balla,Yongxia Guo,Simon Keen,Renu Goel,Gary Watts,Brett Verstak",,checked,,,keep,Ellie reviewed clean.,,
Veranova,,"Veranova is a global leader in process development and manufacturing of active pharmaceutical ingredients (APIs), with a focus on specialty and complex chemistry for small molecules, antibody-drug conjugates, oligonucleotides and peptides. Veranova is headquartered in Devens, Massachusetts and has operations in North America and Europe.
For more information, please visit www.veranova.com.",Pharmaceutical Manufacturing,"501-1,000 employees",Privately Held,"Devens, Massachusetts",Massachusetts,Devens,United States,veranova.com,https://www.linkedin.com/company/veranovalife,Veranova,592,2022,28973,Response,high,"From the Drug Conjugate & Linkers (Specialty Modalities) page: ""At Veranova, we bring over 20 years of experience in developing and manufacturing ADC linker-payloads to support biopharmaceuticals. Our comprehensive suite of services supports your journey from early development through to large-scale commercial manufacturing...""; From the Devens press release: ""This expansion will enable Veranova to provide a more comprehensive suite of services to partners developing antibody-drug conjugates (ADCs) and other bioconjugates...""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the Drug Conjugate & Linkers (Specialty Modalities) page: ""At Veranova, we bring over 20 years of experience in developing and manufacturing ADC linker-payloads to support biopharmaceuticals. Our comprehensive suite of services supports your journey from early development through to large-scale commercial manufacturing...""; From the Devens press release: ""This expansion will enable Veranova to provide a more comprehensive suite of services to partners developing antibody-drug conjugates (ADCs) and other bioconjugates..."".",Response,ADCs,Response,✅ 10 Results Found,Response,recJeZS5TPG1K5ce6,confirmed,❌ No Job Found,https://www.linkedin.com/company/veranovalife,People Search Updated,"Edwin Roman,Phani Satti,Michael Hamlin,Kishore Raju Vatsavai,Qingwei Yao,Niall Martin",,,,,,,,
Avid Bioservices,,"Avid Bioservices is a biologics CDMO and partner focused on delivering quality, speed, and predictability from DNA to CGMP.

We support biotech and pharma companies across the full development lifecycle, with integrated capabilities in cell line development, process development, and CGMP manufacturing for clinical and commercial supply.

Our platforms are intentionally aligned from early development through manufacturing, enabling seamless tech transfer and reducing risk as programs scale.

Our approach is built on predictable delivery. We combine rapid timelines with disciplined execution, giving our partners confidence in both speed and outcomes.

With transparent communication and strong program management, our teams operate as an extension of our clients - ensuring clarity, accountability, and momentum at every stage.

Quality underpins everything we do. We have a strong regulatory track record and a commitment to operational excellence that enables consistent, reliable results from early-phase programs through commercial production. 

Our U.S.-based facilities provide a trusted, scalable manufacturing environment.

At Avid, our services are designed to solve a single problem: how to move biologics programs forward quickly and reliably without compromising quality. By aligning our capabilities, platforms, and teams around that goal, we help our partners accelerate development and deliver therapies to patients with confidence.",Pharmaceutical Manufacturing,201-500 employees,Public Company,"Tustin, California",California,Tustin,United States,avidbio.com,https://www.linkedin.com/company/avid-bioservices,Avid Bioservices,361,2002,12309,Response,high,"From World ADC 2025 page: ""Avid Bioservices has extensive experience supporting Antibody-Drug Conjugate (ADC) programs, helping innovators navigate the complexities of biologics development and manufacturing. Whether you’re advancing a novel ADC candidate or preparing for commercial scale-up, our team is ready to discuss how we can support your goals with tailored CDMO solutions.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs. Verdict: yes (confidence: high). Evidence: From World ADC 2025 page: ""Avid Bioservices has extensive experience supporting Antibody-Drug Conjugate (ADC) programs, helping innovators navigate the complexities of biologics development and manufacturing. Whether you’re advancing a novel ADC candidate or preparing for commercial scale-up, our team is ready to discuss how we can support your goals with tailored CDMO solutions."".",Response,"bispecific antibodies, ADCs",Response,✅ 10 Results Found,Response,recvW52Vskip2JF4s,confirmed,Returned 10 Jobs,https://www.linkedin.com/company/avid-bioservices,People Search Updated,"Tatiana T. S. Mello,Charles Carrier,Gene Yoshioka",,checked,,,keep,Ellie reviewed clean.,,
ILC Dover,,"ILC Dover, an Ingersoll Rand Business, is a world leader in innovative design and production for biopharmaceutical, pharmaceutical, medical device, and aerospace markets. For over 25 years, we’ve led the industry in single-use powder and liquid handling, solving life sciences’ most complex workflow challenges. We deliver engineered solutions to improve your process so you can efficiently produce life-saving therapies. 

Trust ILC Dover to deliver innovative solutions that streamline your workflow from discovery through scale-up production, supporting your commitment to positive patient outcomes.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Frederica, Delaware",Delaware,Frederica,United States,ilcdover.com,https://www.linkedin.com/company/ilc-dover,ILC Dover,564,1947,12207,Response,high,"From the soloADC product page: ""soloADC is the highest-performing containment isolator unit with proven containment results, designed solely for ADC manufacturing and toxic linker compounding.""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the soloADC product page: ""soloADC is the highest-performing containment isolator unit with proven containment results, designed solely for ADC manufacturing and toxic linker compounding."".",Response,ADCs,Response,✅ 10 Results Found,Response,recxmDWjt21VPZHCu,confirmed,❌ No Job Found,https://www.linkedin.com/company/ilc-dover,People Search Updated,,,,,,,,,
Celldex Therapeutics,,Celldex is a clinical stage biotechnology company dedicated to developing monoclonal and bispecific antibodies that address devastating diseases for which available treatments are inadequate. Our pipeline includes antibody-based therapeutics which have the ability to engage the human immune system and/or directly affect critical pathways to improve the lives of patients with inflammatory diseases and many forms of cancer.,Biotechnology Research,51-200 employees,Public Company,"Hampton, NJ",NJ,Hampton,United States,celldex.com,https://www.linkedin.com/company/celldex-therapeutics,Celldex,248,,14448,Response,high,"From the Pipeline page: ""CDX-622 is a bispecific antibody that targets two complementary, clinically validated pathways that drive chronic inflammation, potently neutralizing the alarmin thymic stromal lymphopoietin (TSLP) and depleting mast cells via stem cell factor (SCF) starvation.""",developer,yes,"developer developing bispecific antibodies. Verdict: yes (confidence: high). Evidence: From the Pipeline page: ""CDX-622 is a bispecific antibody that targets two complementary, clinically validated pathways that drive chronic inflammation, potently neutralizing the alarmin thymic stromal lymphopoietin (TSLP) and depleting mast cells via stem cell factor (SCF) starvation."".",Response,bispecific antibodies,Response,✅ 10 Results Found,Response,recQ92AtBqWMMF8C0,confirmed,❌ No Job Found,https://www.linkedin.com/company/celldex-therapeutics,People Search Updated,"Zeshan Ahmed,Cate Swarce,Shannon Renn,Shannon Renn-Bingham",,,,,,,,
FogPharma,,"FogPharma is developing a new class of drugs to address the limitations of today’s precision medicines and achieve universal druggability. The company is pioneering the discovery, development and commercialization of HeliconTM peptides, a new drug modality that uniquely combines the broad targeting power of monoclonal antibodies with the cell-penetrating ability of small molecules. HeliconTM peptides hold the promise, not only to drug nearly all human disease drivers, but also to do so with unrivaled speed and scalability.

Important Notice to Prospective Candidates:

Please be aware of fraudulent recruiters who may claim to be affiliated with FogPharma. All authentic communications on behalf of Fog will come either through the Greenhouse platform or from email addresses ending in @fogpharma.com; we do not communicate with job applicants using LinkedIn messenger. 

Be cautious and refrain from providing personal details to any individual whose affiliation to Fog cannot be verified by the means above.",Biotechnology Research,51-200 employees,Privately Held,"Cambridge, MA",MA,Cambridge,United States,fogpharma.com,https://www.linkedin.com/company/fog-pharmaceuticals,Parabilis Medicines,190,2016,17617,Response,high,"From the Press Release (Parabilis Medicines, May 18, 2026): 'Antibody-Helicon™ Conjugates (AHCs), a novel class of therapeutics designed to target challenging and historically “undruggable” targets.'",platform company,yes,"platform company developing ADCs. Verdict: yes (confidence: high). Evidence: From the Press Release (Parabilis Medicines, May 18, 2026): 'Antibody-Helicon™ Conjugates (AHCs), a novel class of therapeutics designed to target challenging and historically “undruggable” targets.'.",Response,ADCs,Response,✅ 8 Results Found,Response,recwgdIEfJ3G8Yvit,confirmed,❌ No Job Found,https://www.linkedin.com/company/fog-pharmaceuticals,People Search Updated,,,,,,,,,
BigHat Biosciences,,"BigHat’s mission is to improve human health by making it far easier to design advanced, next-generation antibody therapeutics.  Our AI-enabled experimental platform integrates a high-speed characterization or “wet” lab with machine learning technologies to speed the antibody engineering process. When applied, these design capabilities have the potential to drive the development of new generations of safer and more effective treatments for patients suffering from today’s most challenging diseases.

BigHat is backed by Section 32, Andreessen Horowitz, 8VC, Amgen Ventures, Bristol Myers Squibb, Quadrille, Grids Capital, AME Cloud Ventures, Innovation Endeavors and Gaingels.",Biotechnology Research,51-200 employees,Privately Held,"San Mateo, California",California,San Mateo,United States,bighatbio.com,https://www.linkedin.com/company/bighat-biosciences,BigHat Biosciences,97,2019,11764,Response,high,"From the Technology page: ""Today, BigHat specializes in next-generation antibody formats, including camelid and human VHHs, scFvs, multispecifics, and conjugates."" From the Therapeutics page: ""Advancing a pipeline of therapeutics towards the clinic... Modality ... ADC ... BHB810 ... Modality ... TCE ... BHB299""",platform company,yes,"platform company developing bispecific antibodies, multispecific antibodies, ADCs, antibody fragments, BiTEs. Verdict: yes (confidence: high). Evidence: From the Technology page: ""Today, BigHat specializes in next-generation antibody formats, including camelid and human VHHs, scFvs, multispecifics, and conjugates."" From the Therapeutics page: ""Advancing a pipeline of therapeutics towards the clinic... Modality ... ADC ... BHB810 ... Modality ... TCE ... BHB299"".",Response,"bispecific antibodies, multispecific antibodies, ADCs, antibody fragments, BiTEs",Response,✅ 8 Results Found,Response,recXjhYE5RvtWRKW9,confirmed,❌ No Job Found,https://www.linkedin.com/company/bighat-biosciences,People Search Updated,Julie Anne Zorn,,,,,,,,
Dalton Pharma Services,,"Dalton is a contract pharmaceutical manufacturer which provides integrated chemistry, development, and manufacturing to biotechnology and pharmaceutical clients around the world. 

In its 42,000 sq. ft. facility, Dalton operates 
- cGMP manufacturing of Active Pharmaceutical Ingredients (APIs), 
- sterile injectables, 
- finished drug products in vials or syringes
-  solid oral dosage forms.  

APIs can be produced in gram to kilogram quantities, including sterile APIs.  

Dalton contract capabilities can support you at any stage of the regulatory process (Phase I, II, III, or commercial).  

Development services include 

- chemistry and process development, 
- medicinal chemistry, 
- custom drug conjugation, 
- targeted drug delivery systems, 
- analytical method development and validation, 
- ICH stability testing, 
- formulation, and 
- polymorphism screening.  

Dalton also supports the industry's pharmaceutical research programs with a catalog of 2,500 reference standards, building blocks, metabolites, and impurities with its Dalton Research Molecules division.",Pharmaceutical Manufacturing,51-200 employees,Privately Held,"Toronto, ON",ON,Toronto,Canada,dalton.com,https://www.linkedin.com/company/dalton-pharma-services,Dalton Pharma Services,156,1986,11402,Response,high,"From the Home page: ""Dalton offers custom conjugation services as a tool for drug delivery, including development of antibody-drug conjugates (ADCs).""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the Home page: ""Dalton offers custom conjugation services as a tool for drug delivery, including development of antibody-drug conjugates (ADCs)."".",Response,ADCs,Response,✅ 10 Results Found,Response,rec7rIn91JOcwUNND,confirmed,❌ No Job Found,https://www.linkedin.com/company/dalton-pharma-services,People Search Updated,,,,,,,,,
"MaxCyte, Inc.",,"We invest in our partners early on, working side by side in optimizing their processes to derisk their path to the clinic faster. Our ExPERTTM platform, which is based on our Flow Electroporation technology, has been designed to support the rapidly expanding cell therapy market and can be utilized across the continuum of the high-growth cell therapy sector, from discovery and development through commercialization of next-generation, cell-based medicines. The ExPERT family of products includes: five instruments, the ATxTM, STxTM, GTxTM, DTxTM and VLx TM; a portfolio of proprietary related processing assemblies or disposables; and software protocols, all supported by a robust worldwide intellectual property portfolio. By providing our partners with the right technology, as well as technical and regulatory support, we aim to guide them on their journey to transform human health.",Biotechnology,51-200 employees,Public Company,"Rockville, Maryland",Maryland,Rockville,United States,maxcyte.com,https://www.linkedin.com/company/maxcyte-inc-,"MaxCyte, Inc.",104,1999,11112,Response,high,"From the Resource page 'MaxCyte® Flow Electroporation® for Gram-Scale Transient Antibody Production in CHO-S Cells': ""Various CHO TGE methods are available... and generally produce low antibody titers for typical IgG molecules and even lower yields of difficult-to-express molecules such as bispecific antibodies. MaxCyte® created Flow Electroporation® ... This fully scalable technology enables high-titer antibody production from CHO-based TGE.""",platform company,yes,"platform company developing bispecific antibodies. Verdict: yes (confidence: high). Evidence: From the Resource page 'MaxCyte® Flow Electroporation® for Gram-Scale Transient Antibody Production in CHO-S Cells': ""Various CHO TGE methods are available... and generally produce low antibody titers for typical IgG molecules and even lower yields of difficult-to-express molecules such as bispecific antibodies. MaxCyte® created Flow Electroporation® ... This fully scalable technology enables high-titer antibody production from CHO-based TGE."".",Response,bispecific antibodies,Response,✅ 10 Results Found,Response,rec5zS00wERso0EeZ,confirmed,❌ No Job Found,https://www.linkedin.com/company/maxcyte-inc-,People Search Updated,,,,,,,,,
"IGM Biosciences, Inc.",,"About IGM Biosciences, Inc.

IGM Biosciences (Nasdaq: IGMS) is a clinical-stage biotechnology company committed to developing and delivering a new class of medicines to treat patients with autoimmune and inflammatory diseases. The Company’s pipeline of clinical and preclinical assets is based on the IgM antibody, which has 10 binding sites, compared to conventional IgG antibodies with only 2 binding sites. We have created unique IgM antibodies with high selectivity, affinity, and avidity that may redefine what is possible for therapeutic antibody medicines. We are committed to exploring how the unique structure and binding properties of the IGM antibody can improve outcomes for patients with these serious conditions. The Company also has an exclusive worldwide collaboration agreement with Sanofi to create, develop, manufacture, and commercialize IgM antibody agonists against oncology, immunology, and inflammation targets. For more information, please visit www.igmbio.com.
 
Imvotamab in Autoimmune and Inflammatory Diseases
Imvotamab is a bispecific T cell engaging IgM antibody targeting CD20 and CD3 proteins. We believe that Imvotamab, with its 10 binding units for CD20, may successfully bind to CD20 expressing B cells with more power (avidity) compared to an IgG bispecific antibody with only one or two binding units for CD20. Our preclinical studies suggest that Imvotamab may offer the potential for deeper depletion of B cells, including those in low CD20 expressing cells, than currently approved antibody therapies. We are evaluating Imvotamab in Phase 1b clinical trials of Imvotamab in severe systemic lupus erythematosus (SLE), rheumatoid arthritis (RA), and idiopathic inflammatory myopathies (myositis).",Biotechnology Research,51-200 employees,Public Company,"Mountain View, California",California,Mountain View,United States,igmbio.com,https://www.linkedin.com/company/igm-biosciences,"IGM Biosciences, Inc.",71,2010,11088,Response,high,"From the News Release (Investor site): 'IGM Biosciences Provides Strategic Update on Autoimmunity Pipeline Programs' — 'Company halting further development of imvotamab (CD20 x CD3) and IGM-2644 (CD38 x CD3)' and 'imvotamab, an IgM-based CD20 X CD3 bispecific antibody T cell engager, and IGM-2644, an IgM-based CD38 X CD3 bispecific antibody T cell engager'",developer,yes,"developer developing bispecific antibodies, BiTEs. Verdict: yes (confidence: high). Evidence: From the News Release (Investor site): 'IGM Biosciences Provides Strategic Update on Autoimmunity Pipeline Programs' — 'Company halting further development of imvotamab (CD20 x CD3) and IGM-2644 (CD38 x CD3)' and 'imvotamab, an IgM-based CD20 X CD3 bispecific antibody T cell engager, and IGM-2644, an IgM-based CD38 X CD3 bispecific antibody T cell engager'.",Response,"bispecific antibodies, BiTEs",Response,,Response,rec7EWUXj9mQFCXpd,confirmed,❌ No Job Found,https://www.linkedin.com/company/igm-biosciences,People Search Updated,,,,,,,,,
Treeline,,"Treeline (or Treeline Biosciences) is a privately held, clinical-stage biopharma company that aspires to make medicines at the highest level. We match compelling disease targets with proven drug approaches, by integrating in-house R&D with leading-edge computational tools. We choose programs with the potential to redefine the treatment of cancer and other serious diseases. We are led by a team of biology, chemistry, protein science, computation, and clinical development leaders working across the U.S. and Europe.",Biotechnology Research,51-200 employees,Privately Held,"Watertown, Massachusetts",Massachusetts,Watertown,United States,treeline.bio,https://www.linkedin.com/company/treeline-biosciences,Treeline,170,,10809,Response,high,"From the Home page: ""Inhibitors, protein degraders, and antibody drug conjugates are clinically proven approaches to making new medicines. We have enabled all of these in-house, so we can choose the best approach for each target and disease.""",developer,yes,"developer developing ADCs. Verdict: yes (confidence: high). Evidence: From the Home page: ""Inhibitors, protein degraders, and antibody drug conjugates are clinically proven approaches to making new medicines. We have enabled all of these in-house, so we can choose the best approach for each target and disease."".",Response,ADCs,Response,✅ 10 Results Found,Response,recpdI4yMIoPFOeCx,confirmed,❌ No Job Found,https://www.linkedin.com/company/treeline-biosciences,People Search Updated,"Ann Gelormini,""Aaron T. Herrmann, PhD""",,,,,,,,
Recipharm Advanced Bio,,"Recipharm Advanced Bio, a division of Recipharm, is a contract development and manufacturing organization (CDMO) specifically established to focus on serving companies seeking to develop and commercialize advanced therapy medicinal products (ATMPs). Recipharm Advanced Bio’s specialized CDMO capabilities include pre-clinical to clinical development and manufacturing and commercial production of novel biological modalities encompassing live viruses and viral vectors, live-biotherapeutic products,  nucleic acid based mRNA and plasmid DNA. Led by an agile management team and robust technical experts with a proven track record in both process development and contract manufacturing, Recipharm Advanced Bio offers the knowledge and resources necessary to help customers deliver promising new therapies to critical patient needs across the world and to advance the future of global health.

 
Led by a management team and technical experts with a proven track record in both  process development and contract manufacturing, ReciBioPharm offers the knowledge and resources necessary to help customers develop and manufacture promising new therapies to meet the needs of patients across the world.",Pharmaceutical Manufacturing,201-500 employees,Privately Held,"Watertown, MA",MA,Watertown,United States,recipharm-ab.com,https://www.linkedin.com/company/recipharmadvancedbio,Recipharm Advanced Bio,177,2022,10191,Response,high,"From the Recipharm Corporate Fact Sheet: 'Preparation of antibody-drug conjugates (ADCs)... Custom design and synthesis of payloads, spacers and linkers... Preparation and purification of various types of bioconjugates.' From the Recipharm Advanced Bio About page: 'development and manufacturing services: ... Recombinant proteins'.",CDMO service provider,yes,"CDMO service provider developing ADCs, Fc-fusion proteins, antibody fragments. Verdict: yes (confidence: high). Evidence: From the Recipharm Corporate Fact Sheet: 'Preparation of antibody-drug conjugates (ADCs)... Custom design and synthesis of payloads, spacers and linkers... Preparation and purification of various types of bioconjugates.' From the Recipharm Advanced Bio About page: 'development and manufacturing services: ... Recombinant proteins'..",Response,"ADCs, Fc-fusion proteins, antibody fragments",Response,✅ 5 Results Found,Response,recgN83QcV7SFXM81,confirmed,❌ No Job Found,https://www.linkedin.com/company/recipharmadvancedbio,People Search Updated,"Tiago Bruno Ferreira,Kay Winkler",,,,,,,,
